,year,state,party,1976,1980,1984,1988,1992,1996,2000,2004,2008,2012,2016,2020
108,108,Oklahoma,DEM,532442,402026,385080,483423,473066,488105,474276,503966,502496,443547,420375,503890
109,109,Oklahoma,REP,545708,695570,861530,678367,592929,582315,744337,959792,960165,891325,949136,1020280
110,110,Oklahoma,LIB,14101,52112,9066,9246,324364,136293,15616,0,0,0,83481,36529
111,111,Oregon,DEM,490407,456890,536479,616206,621314,649641,720342,943163,1037291,970488,1002106,1340291
112,112,Oregon,REP,492120,571044,685700,560126,475757,538152,713577,866831,738475,754175,782403,958410
113,113,Oregon,LIB,47349,153582,4348,25362,365572,189967,100031,26788,52098,64607,216827,72300
114,114,Pennsylvania,DEM,2328677,1937540,2228131,2194944,2239164,2215819,2485967,2938095,3276363,2990274,2926441,3459923
115,115,Pennsylvania,REP,2205604,2261872,2584323,2300087,1791841,1801169,2281127,2793847,2655885,2680434,2970733,3378263
116,116,Pennsylvania,LIB,86506,362089,32449,41220,928805,484319,145091,37648,81024,71332,218228,85820
117,117,Rhode Island,DEM,227636,198342,197106,225123,213299,233050,249508,259760,296571,279677,252525,306210
118,118,Rhode Island,REP,181249,154793,212080,177761,131601,104683,130555,169046,165391,157204,180543,199837
119,119,Rhode Island,LIB,1699,62832,1303,1738,108465,52514,29049,8328,9804,9168,31076,7580
120,120,South Carolina,DEM,450807,428220,344459,370554,525514,506152,566037,661669,862449,865941,855373,1091541
121,121,South Carolina,REP,346149,439277,615539,606443,577507,573339,786892,937974,1034896,1071645,1155389,1385103
122,122,South Carolina,LIB,5627,20761,8531,9012,125891,70691,30973,18057,23624,26532,92265,36685
123,123,South Dakota,DEM,147068,103855,116113,145560,124888,139333,118804,149244,170924,145039,117458,150471
124,124,South Dakota,REP,151505,198343,200267,165415,136718,150543,190700,232584,203054,210610,227721,261043
125,125,South Dakota,LIB,2105,25505,1487,2016,74648,33950,6765,6387,7997,8166,24914,11095
126,126,Tennessee,DEM,825879,783051,711714,679794,933521,909146,981720,1036477,1087437,960709,870695,1139376
127,127,Tennessee,REP,633969,787761,990212,947233,841300,863530,1061949,1384375,1479178,1462330,1522925,1849820
128,128,Tennessee,LIB,16498,46804,10067,9223,207817,121429,32512,16467,33134,35538,114407,60318
129,129,Texas,DEM,2082319,1881147,1949276,2352748,2281815,2459683,2433746,2832704,3528633,3308124,3877868,5259126
130,130,Texas,REP,1953300,2510705,3433428,3036829,2496071,2736167,3799639,4526917,4479328,4569843,4685047,5890347
131,131,Texas,LIB,36265,149784,14867,37833,1376132,415794,174252,51128,69834,115884,406311,168438
132,132,Utah,DEM,182110,124266,155369,207343,183429,221633,203053,241199,327670,251813,310674,560282
133,133,Utah,REP,337908,439687,469105,428442,322632,361911,515096,663742,596030,740600,515211,865140
134,134,Utah,LIB,21200,40199,5182,11223,237937,82085,52605,22903,28670,25027,305432,62867
135,135,Vermont,DEM,77798,81952,95730,115775,133592,137894,149022,184067,219262,199239,178573,242820
136,136,Vermont,REP,100387,94628,135865,124331,88122,80352,119775,121180,98974,92698,95369,112704
137,137,Vermont,LIB,5717,36719,2966,3222,67987,40203,25511,7062,6810,7353,46525,11904
138,138,Virginia,DEM,813896,752174,796250,859799,1038650,1091060,1217290,1454742,1959532,1971820,1981473,2413568
139,139,Virginia,REP,836554,989609,1337078,1309162,1150517,1138350,1437490,1716959,1725005,1822522,1769443,1962430
140,140,Virginia,LIB,46644,124249,13307,22648,369962,187232,84667,23714,38723,60147,231836,84526
141,141,Washington,DEM,717323,650193,798352,933516,993037,1123323,1247652,1510201,1750848,1755396,1742718,2369437
142,142,Washington,REP,777732,865244,1051670,903835,731234,840712,1108864,1304894,1229216,1290670,1221747,1584588
143,143,Washington,LIB,60479,226957,24888,27902,563294,289802,130917,43989,56814,79450,352554,106269
144,144,West Virginia,DEM,435864,367462,328125,341016,331001,327812,295497,326541,303857,238269,188794,235984
145,145,West Virginia,REP,314726,334206,405483,310065,241974,233946,336475,423778,397466,417655,489371,545382
146,146,West Virginia,LIB,0,36047,2134,2230,110702,74701,16152,5473,12128,14514,34886,13286
147,147,Wisconsin,DEM,1040232,981584,995740,1126794,1041066,1071971,1242987,1489504,1677211,1620985,1382536,1630716
148,148,Wisconsin,REP,1004987,1088845,1198584,1047499,930855,845029,1237279,1478120,1262393,1410966,1405284,1610151
149,149,Wisconsin,LIB,56117,202792,17365,17315,559143,279169,118341,29383,43813,39483,188330,56567
150,150,Wyoming,DEM,62239,49427,53370,67113,68160,77934,60481,70776,82868,69286,55973,73491
151,151,Wyoming,REP,92717,110700,133241,106867,79347,105388,147947,167629,164958,170962,174419,193559
152,152,Wyoming,LIB,1387,16586,2357,2571,52377,28249,5298,5456,7078,10453,28396,9715
